DISTRICT	DISTNAME	CONST	CANDIDATE_NAME	AGE	SEX	PARTYNAME	SYMBOLNAME	TOTALVOTE
1	ताप्लेजुंग	2	टंक  आङबोहाङ	33	M	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	4557
1	ताप्लेजुंग	2	केशव प्रकास प्रसाइ	63	M	नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)	हँसिया र तारा	580
1	ताप्लेजुंग	2	चन्द्र  मादेन	40	M	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	336
1	ताप्लेजुंग	2	योग राज लिम्बु वनेम	41	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	164
1	ताप्लेजुंग	2	इन्द्र प्रसाद थापा	51	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	145
1	ताप्लेजुंग	2	याम कुमार अाङबोहाङ	35	M	राष्ट्रिय जनमुक्ति पार्टी 	घर	96
1	ताप्लेजुंग	2	गजेन्द्र  लिम्बु	25	M	संघीय लिम्बुवान राज्य परिषद	झण्डाभित्र फुल	65
1	ताप्लेजुंग	2	घनश्याम  सिटोला	27	M	नेपाल परिवार दल 	साँचो	43
1	ताप्लेजुंग	2	जस बहादुर लिम्बु	53	M	मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)	नमस्कार गरेको हात 	39
1	ताप्लेजुंग	2	राज कुमार गुरुङ	31	M	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	37
2	पाँचथर	1	गणेश कुमार काम्बाङ्ग	60	M	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	13082
2	पाँचथर	1	नरेन्द्र कुमार केरुङ्ग	41	M	नेपाली काँग्रेस	रुख	11518
2	पाँचथर	1	आइन्द्र कुमार केरुङ्ग	38	M	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	3092
2	पाँचथर	1	सगुन शुन्दर लावती	42	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	1589
2	पाँचथर	1	राजेन्द्र कुमार जवेगु	58	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	1445
2	पाँचथर	1	प्रेम राज थाम्सुहाङ्ग	51	M	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	1103
2	पाँचथर	1	सुरेन्द्र प्रकाश जवेगु	58	M	संघीय लिम्बुवान राज्य परिषद	झण्डाभित्र फुल	1044
2	पाँचथर	1	यादव  राई	29	M	संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल	डम्फु	557
2	पाँचथर	1	पुण्य मायाँ घिमिरे (पोख्रेल)	41	F	नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)	हँसिया र तारा	270
2	पाँचथर	1	देउ कुमार राई	28	M	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	217
2	पाँचथर	1	मदन कुमार पोख्रेल	41	M	अखण्ड नेपाल पार्टी	ध्वजा	100
2	पाँचथर	1	अजय  नेम्बाङ्ग	44	M	नेपाल कम्युनिष्ट पार्टी (संयुक्त)	हँसिया	93
2	पाँचथर	1	राज भक्त योङया	27	M	मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)	नमस्कार गरेको हात 	86
2	पाँचथर	1	पुर्ण बहादुर लावती	45	M	राष्ट्रिय जनमुक्ति पार्टी 	घर	63
2	पाँचथर	1	तारा प्रसाद भट्टराई	52	M	राष्ट्रिय स्वाभिमान पार्टी नेपाल 	कँैची	50
2	पाँचथर	1	गोविन्द बहादुर गुरुङ्ग	47	M	नेपाल कम्युनिष्ट पार्टी	घन कोदाला	44
2	पाँचथर	1	झलक मान थापा	53	M	नेपाल परिवार दल 	साँचो	42
2	पाँचथर	1	छवि प्रसाद ढकाल	36	M	जनयुनिटी को–अपरेटिभ पार्टी नेपाल 	कापी कलम	17
2	पाँचथर	2	भीष्म राज आङदेम्बे	49	M	नेपाली काँग्रेस	रुख	11839
2	पाँचथर	2	डम्बर सिं सम्बाहाम्फे	50	M	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	9179
2	पाँचथर	2	पदम सुन्दर लावती	75	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	4943
2	पाँचथर	2	दिनेश कुमार लावती	48	M	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	3255
2	पाँचथर	2	प्रवीन  नेम्बाङ	42	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	1643
2	पाँचथर	2	महेन्द्र प्रसाद सुवार	32	M	नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)	हँसिया र तारा	442
2	पाँचथर	2	सिंह राज नेम्बाङ	47	M	संघीय लिम्बुवान राज्य परिषद	झण्डाभित्र फुल	183
2	पाँचथर	2	स‌ंजित कुमार राई	41	M	संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल	डम्फु	171
2	पाँचथर	2	डम्बर सिं नेम्बाङ	49	M	लिम्बुवान मुक्ति मोर्चा 	घण्टाघर	140
2	पाँचथर	2	ऐत राज सम्बाहाम्फे	44	M	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	122
2	पाँचथर	2	भगी रथ लिम्बु	47	M	राष्ट्रिय जनमुक्ति पार्टी 	घर	115
2	पाँचथर	2	ऋतु बर्ण बास्कोटा	33	M	मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)	नमस्कार गरेको हात 	91
2	पाँचथर	2	राम कुमार तुम्रोक	35	M	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	57
2	पाँचथर	2	नारायण प्रसाद चापागाई	38	M	नेपाल कम्युनिष्ट पार्टी	घन कोदाला	51
2	पाँचथर	2	हरि प्रसाद चापागाई	33	M	नेपाल परिवार दल 	साँचो	27
2	पाँचथर	2	दुर्गा प्रसाद न्यौपाने	47	M	जनयुनिटी को–अपरेटिभ पार्टी नेपाल 	कापी कलम	19
3	इलाम	1	झलनाथ  खनाल	64	M	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	17342
3	इलाम	1	हिमालय  कर्मचार्य	58	M	नेपाली काँग्रेस	रुख	15527
3	इलाम	1	देवेन्द्र कुमार राई	53	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	4529
3	इलाम	1	युब कुमार पौडेल	37	M	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	4420
3	इलाम	1	पदम प्रसाद आचार्य	41	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	544
3	इलाम	1	गणेश वहादुर राई	47	M	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	528
3	इलाम	1	शेर वहादुर लिम्वु	44	M	संघीय लिम्बुवान राज्य परिषद	झण्डाभित्र फुल	460
3	इलाम	1	मोहन कुमार तामाङ	48	M	संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल	डम्फु	275
3	इलाम	1	तुल वहादुर बस्नेत	43	M	नेपाल कम्युनिष्ट पार्टी	घन कोदाला	246
3	इलाम	1	भक्त कुमारी गदाल	74	F	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	210
3	इलाम	1	केसाङ  योल्मु	29	M	मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)	नमस्कार गरेको हात 	133
3	इलाम	1	विषण  थापा मगर	48	M	लिम्बुवान मुक्ति मोर्चा नेपाल  	कोट	27
3	इलाम	2	सुवास चन्द्र नेम्बाङ्ग	61	M	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	14930
3	इलाम	2	भेष राज आचार्य	49	M	नेपाली काँग्रेस	रुख	12828
3	इलाम	2	रमेश कुमार लिङदेन	51	M	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	4648
3	इलाम	2	विनोद कुमार नेम्बाङ्ग	32	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	2486
3	इलाम	2	पृथ्वी राज चेम्जोङ	35	M	नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)	हँसिया र तारा	613
3	इलाम	2	हेमन्त  राई	42	F	संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल	डम्फु	507
3	इलाम	2	गलिन्द्र  लिम्बु योंगहांग	46	M	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	397
3	इलाम	2	डम्बर बहादुर लिम्बु	27	M	संघीय लिम्बुवान राज्य परिषद	झण्डाभित्र फुल	350
3	इलाम	2	कृष्‍ण प्रसाद वास्तोला	46	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	322
3	इलाम	2	जित बहादुर खत्री	71	M	खस समावेशी राष्ट्रिय पार्टी 	ढालतरवार	136
3	इलाम	2	खग प्रसाद शर्मा ढुङगाना	62	M	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	121
3	इलाम	2	नारायण प्रसाद गुरुङ	34	M	मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)	नमस्कार गरेको हात 	106
3	इलाम	2	दिपक प्रकाश पौडेल	46	M	तराई मधेश पहाड हिमाल एकता पार्टी  	सिसाकलम	35
3	इलाम	3	केशव  थापा	54	M	नेपाली काँग्रेस	रुख	15868
3	इलाम	3	टेक बहादुर राई	64	M	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	13707
3	इलाम	3	धिरेन्द्र  शर्मा	37	M	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	3745
3	इलाम	3	ढाल बहादुर गरुङ्ग	46	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	2613
3	इलाम	3	सूर्य कुमार गुरुङ्ग	52	M	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	736
3	इलाम	3	माधव प्रसाद भट्टराई	65	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	302
3	इलाम	3	दिल बहादुर गुरुङ्ग	69	M	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	251
3	इलाम	3	डम्बरबहादुर राना मगर	63	M	राष्ट्रिय जनमुक्ति पार्टी 	घर	237
3	इलाम	3	कृष्‍ण बहादुर खत्री	48	M	खस समावेशी राष्ट्रिय पार्टी 	ढालतरवार	222
3	इलाम	3	दान बहादुर तामाङ्ग	58	M	संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल	डम्फु	209
3	इलाम	3	गोपाल  थेवे	36	M	संघीय लिम्बुवान राज्य परिषद	झण्डाभित्र फुल	189
3	इलाम	3	याक बहादुर लिम्बु	47	M	नेपाल कम्युनिष्ट पार्टी	घन कोदाला	159
3	इलाम	3	दिलेन्द्र  नेम्बाङ्ग	36	M	लिम्बुवान मुक्ति मोर्चा 	घण्टाघर	90
3	इलाम	3	मदन  आचार्य	29	M	मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)	नमस्कार गरेको हात 	37
4	झापा	1	रविन  कोइराला	49	M	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	17229
4	झापा	1	विश्व प्रकाश शर्मा	44	M	नेपाली काँग्रेस	रुख	16540
4	झापा	1	बोधराज  दाहाल	37	M	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	6858
4	झापा	1	धन प्रसाद गुरुङ	54	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	1979
4	झापा	1	अशोक  सुब्बा	47	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	1463
4	झापा	1	बद्री प्रसाद‍ उप्रेती	65	M	नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)	हँसिया र तारा	586
4	झापा	1	ओलिन  राजवंशी	48	M	सद्भावना पार्टी 	तीर	483
4	झापा	1	शान्ति लाल धिमाल	54	M	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	441
4	झापा	1	एनु कुमार भट्टराई	53	M	खस समावेशी राष्ट्रिय पार्टी 	ढालतरवार	142
4	झापा	1	शिव कुमार चौहान	65	M	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	100
4	झापा	1	कृष्ण कुमार थेवे (सुब्बा)	61	M	राष्ट्रिय जनमुक्ति पार्टी 	घर	98
4	झापा	1	रत्नकला  पराजुली	42	F	नेपाल परिवार दल 	साँचो	92
4	झापा	1	चन्द्र बहादुर तामाङ	49	M	संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल	डम्फु	82
4	झापा	1	भाद्री  राजवंशी	52	F	तराई–मधेश लोकतान्त्रिक पार्टी 	जोडा गोरु	70
4	झापा	1	शंकर  मेचे	53	M	मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)	नमस्कार गरेको हात 	65
4	झापा	1	राम सुफल कामती	54	M	मधेशी जनअधिकार फोरम, नेपाल 	हातले समातेको मसाल 	63
4	झापा	1	बुद्धिनाथ  खतिवडा	36	M	स्वतन्त्र 	सयपत्रि फूल	42
4	झापा	1	ओम प्रकाश खापुङ	32	M	संघीय लिम्बुवान राज्य परिषद	झण्डाभित्र फुल	30
4	झापा	1	चन्द्र बहादुर लिम्बु साँवा	56	M	लिम्बुवान मुक्ति मोर्चा नेपाल  	कोट	26
4	झापा	1	सुर्य प्रसाद रिमाल	36	M	राष्ट्रिय शिवसेना पार्टी 	सिपाही	20
4	झापा	1	भुमि राज खड्का	53	M	नेपाल कम्युनिष्ट पार्टी (माले–समाजवादी)	सुकुन्दा	11
4	झापा	2	सुधिर कुमार सिवाकोटी	63	M	नेपाली काँग्रेस	रुख	13554
4	झापा	2	पवित्रा  निरौला (खरेल)	50	F	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	12825
4	झापा	2	पूर्ण प्रसाद राजवंशी	48	M	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	10108
4	झापा	2	भक्ति प्रसाद सिटौला	52	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	6710
4	झापा	2	भुपाल बहादुर राई	42	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	1012
4	झापा	2	गंगा प्रसाद सिवाकोटी	46	M	नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)	हँसिया र तारा	877
4	झापा	2	तेज प्रसाद चौधरी	67	M	तराई–मधेश लोकतान्त्रिक पार्टी 	जोडा गोरु	276
4	झापा	2	लिला बहादुर बस्नेत	61	M	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	190
4	झापा	2	बद्री  महत	40	M	खस समावेशी राष्ट्रिय पार्टी 	ढालतरवार	173
4	झापा	2	पवन  शर्मा	38	M	मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)	नमस्कार गरेको हात 	162
4	झापा	2	दिपक कुमार संग्रौला	34	M	नेपाल परिवार दल 	साँचो	128
4	झापा	2	गोपाल  चौधरी	64	M	राष्ट्रिय जनमुक्ति पार्टी 	घर	120
4	झापा	2	सुरेस  रय (गुहार)	42	M	मधेशी जनअधिकार फोरम, नेपाल 	हातले समातेको मसाल 	107
4	झापा	2	इन्द्र प्रसाद ‌ओली	48	M	राष्ट्रिय स्वाभिमान पार्टी नेपाल 	कँैची	105
4	झापा	2	हिमालय  प्रसाईं	37	M	चुरेभावर राष्ट्रिय एकता पार्टी नेपाल 	सुदर्शन चक्र	95
4	झापा	2	बुद्ध लाल मेचे	42	M	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	73
4	झापा	2	पार्वती कुमारी राजवंशी	37	F	संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल	डम्फु	67
4	झापा	2	दिपक  रायामाझी	27	M	नेपाल राष्ट्रसेवा दल 	टेलिफोन	53
4	झापा	2	चित्रलेखा  पराजुली	45	F	स्वतन्त्र 	सयपत्रि फूल	45
4	झापा	2	शान्ता देवी अधिकारी	32	F	नेपालआमा पार्टी  	आमाको काखमा बच्चा 	31
4	झापा	2	वेद प्रकाश अग्रवाल	61	M	जनता पार्टी नेपाल 	मसी र कलम	27
4	झापा	2	मेनुका  खतिवडा	52	F	लिम्बुवान मुक्ति मोर्चा नेपाल  	कोट	25
4	झापा	2	देवेन्द्र किशोर ढुंगाना	52	M	नव नेपाल निर्माण पार्टी 	खरायो	15
4	झापा	2	कृष्ण बहादुर खत्री	46	M	राष्ट्रिय शिवसेना पार्टी 	सिपाही	12
4	झापा	2	राज कुमार प्रसाइं	47	M	मातृभूमि नेपाल दल 	गाग्रो बोकेकी महिला 	11
4	झापा	2	योगेन्द्र  ढकाल	50	M	राष्ट्रिय जनमोर्चा 	गिलास	7
4	झापा	2	गीता  रिख्यासन	32	F	राष्ट्रिय जनता दल नेपाल 	लालटिन	6
4	झापा	3	कृष्ण प्रसाद सिटौला	64	M	नेपाली काँग्रेस	रुख	14355
4	झापा	3	राजेन्द्र प्रसाद लिङदेन	49	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	9253
4	झापा	3	वसन्त कुमार बानिया	36	M	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	6462
4	झापा	3	धर्म शीला चापागाईं	40	F	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	6217
4	झापा	3	भारतेन्दु कुमार मल्लिक	52	M	मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)	नमस्कार गरेको हात 	3798
4	झापा	3	विजय कुमार केरुङ	35	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	1358
4	झापा	3	नवराज  खरेल	43	M	नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)	हँसिया र तारा	718
4	झापा	3	हरिश चन्द्र राजवंशी	45	M	सद्भावना पार्टी 	तीर	375
4	झापा	3	श्यामा कुमारी राजवंशी	38	F	तराई–मधेश लोकतान्त्रिक पार्टी 	जोडा गोरु	369
4	झापा	3	बिनोद  जोतसी	47	M	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	180
4	झापा	3	मीना  राजवंशी	52	F	मधेशी जनअधिकार फोरम, नेपाल 	हातले समातेको मसाल 	117
4	झापा	3	थान बहादुर थापा	44	M	खस समावेशी राष्ट्रिय पार्टी 	ढालतरवार	96
4	झापा	3	गोपाल  थेवे	36	M	संघीय लिम्बुवान राज्य परिषद	झण्डाभित्र फुल	75
4	झापा	3	ईन्द्र प्रसाद ओली	48	M	राष्ट्रिय स्वाभिमान पार्टी नेपाल 	कँैची	74
4	झापा	3	कमारु  जमशेख	53	M	नेपाल परिवार दल 	साँचो	56
4	झापा	3	सान बहादुर मेचे	31	M	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	42
4	झापा	3	किरण  कन्दङवा	33	M	संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल	डम्फु	42
4	झापा	3	प्रदिप कुमार राजवंशी	45	M	राष्ट्रिय जनमुक्ति पार्टी 	घर	40
4	झापा	3	जय प्रसाद भट्टराई	42	M	युनाइटेड ग्रीन अर्गनाइजेशन 	उँट	39
4	झापा	3	सुधिर  ठाकुर	41	M	तराई मधेश सदभावना पार्टी नेपाल 	लट्ठी लिएको पुरुष 	26
4	झापा	3	वल्ल बहादुर लिम्बु	53	M	लिम्बुवान मुक्ति मोर्चा नेपाल  	कोट	24
4	झापा	3	युवराज  दाहाल	40	M	राष्ट्रिय शिवसेना पार्टी 	सिपाही	10
4	झापा	3	खेम कुमारी राजवंशी	36	F	संघीय सद्भावना पार्टी 	राजहाँस	8
4	झापा	4	प्रेम बहादुर गिरी	48	M	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	22159
4	झापा	4	उद्धव  थापा	56	M	नेपाली काँग्रेस	रुख	20177
4	झापा	4	पुरुषोत्तम  चुडाल	31	M	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	6648
4	झापा	4	प्रल्हाद  सापकोटा	70	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	1839
4	झापा	4	सु.वे. मान बहादुर राई	73	M	राष्ट्रिय जनमुक्ति पार्टी 	घर	598
4	झापा	4	भिष्म प्रसाद मैनाली	48	M	नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)	हँसिया र तारा	514
4	झापा	4	अम्बर बहादुर राई	34	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	310
4	झापा	4	राजेन्द्र कुमार राई	44	M	नेपाल कम्युनिष्ट पार्टी (संयुक्त)	हँसिया	177
4	झापा	4	राज देव शाह हलुवाई	62	M	मधेशी जनअधिकार फोरम, नेपाल 	हातले समातेको मसाल 	160
4	झापा	4	शरण सि‌ह विश्वकर्मा	51	M	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	133
4	झापा	4	टोम राज लिम्बु (थाम्सुहाङ)	43	M	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	118
4	झापा	4	ग्यांसुदिन  मियां	44	M	तराई–मधेश लोकतान्त्रिक पार्टी 	जोडा गोरु	82
4	झापा	4	देव कुमारी कार्की	31	F	खस समावेशी राष्ट्रिय पार्टी 	ढालतरवार	77
4	झापा	4	छत्र बहादुर विश्वकर्मा	41	M	नेपालआमा पार्टी  	आमाको काखमा बच्चा 	48
4	झापा	4	केवल कुमार कटुवाल	27	M	लिम्बुवान मुक्ति मोर्चा 	घण्टाघर	47
4	झापा	4	केदार  ढ‌ुंगाना	38	M	नेपाल परिवार दल 	साँचो	39
4	झापा	4	भवानी प्रसाद ढकाल	56	M	राष्ट्रिय शिवसेना पार्टी 	सिपाही	36
4	झापा	4	भागवत  उपाध्याय नेपाल	53	M	राष्ट्रिय स्वाभिमान पार्टी नेपाल 	कँैची	32
4	झापा	4	निर्मला देवी श्रेष्ठ	35	F	युनाइटेड ग्रीन अर्गनाइजेशन 	उँट	23
4	झापा	4	लिला नाथ भण्डारी	55	M	नव नेपाल निर्माण पार्टी 	खरायो	15
4	झापा	4	याम बहादुर बस्नेत	51	M	लिग नेपाल शान्ति एकता पार्टी 	घोडा	12
4	झापा	4	अबुल  हुसेन अन्सारी	53	M	लिम्बुवान मुक्ति मोर्चा नेपाल  	कोट	8
4	झापा	5	केशब कुमार बुढाथोकी	69	M	नेपाली काँग्रेस	रुख	16587
4	झापा	5	लाल प्रसाद सावा लिम्बु	46	M	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	16347
4	झापा	5	झलक बहादुर मगर	38	M	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	9172
4	झापा	5	ध्रुब कुमार उप्रेती	44	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	3154
4	झापा	5	ओम नारायण राजबंशी	45	M	सद्भावना पार्टी 	तीर	1523
4	झापा	5	काजी बहादुर खत्री	58	M	नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)	हँसिया र तारा	965
4	झापा	5	देउ प्रसाद लिम्बु	30	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	746
4	झापा	5	दुर्जन लाल राजबंशी	68	M	मधेशी जनअधिकार फोरम, नेपाल 	हातले समातेको मसाल 	580
4	झापा	5	टुम लाल राजबंशी	46	M	स्वतन्त्र 	ताल्चा साँचो	493
4	झापा	5	गणित प्रसाद गणेश	65	M	मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)	नमस्कार गरेको हात 	483
4	झापा	5	हेमन्त बहादुर बोहरा	60	M	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	366
4	झापा	5	हिमा देवी रिजाल	44	F	नेपाल कम्युनिष्ट पार्टी (संयुक्त)	हँसिया	300
4	झापा	5	त्रि नारायण राजबंशी	52	M	तराई–मधेश लोकतान्त्रिक पार्टी 	जोडा गोरु	216
4	झापा	5	कैलाश  चौधरी	51	M	नेपाल सद्भावना पार्टी	हात	153
4	झापा	5	प्रदिप कुमार राजबंशी	45	M	राष्ट्रिय जनमुक्ति पार्टी 	घर	134
4	झापा	5	चिन्ता देवी ढुंगेल	42	F	नेपालआमा पार्टी  	आमाको काखमा बच्चा 	86
4	झापा	5	सुन्दर लाल साह	42	M	मधेशी जनअधिकार फोरम (गणतान्त्रिक)	रेल	82
4	झापा	5	कौशिला देवी महतो	50	F	राष्ट्रिय जनता दल नेपाल 	लालटिन	80
4	झापा	5	फिरोज  मिया	37	M	संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल	डम्फु	78
4	झापा	5	दिपक  पोख्रेल	44	M	स्वतन्त्र 	सयपत्रि फूल	69
4	झापा	5	मेदनी प्रसाद सिलवाल	47	M	नेपाल परिवार दल 	साँचो	58
4	झापा	5	लक्ष्मी नारायण खनाल	35	M	स्वतन्त्र 	गितार	45
4	झापा	5	उमेश कुमार शाह	27	M	जनतान्त्रिक तराई मधेश मुक्ति टाइगर्स 	गोरुगाडा	29
4	झापा	5	सन्तोष  तामाङ्ग	30	M	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	23
4	झापा	5	शान्ती  चौधरी	36	F	नेपाल मजदुर किसान पार्टी 	मादल	18
